sec,floor,apt,step
108,4,0,Vinçte dış duvar
108,3,2,Asansörde Fayans ve parkeler döşeme
109,3,1,Asansörde Mobilya taşıma
110,3,1,Final kontrol
110,3,2,Asansörde Mobilya taşıma
111,4,1,Vinçte dış duvar
111,3,2,Final kontrol
114,4,2,Vinçte dış duvar
117,4,3,Vinçte dış duvar
120,4,3,"Dış-iskelet tamam, iç dekora geçiliyor"
120,4,3,Elektrik-su hattı döşeme
120,4,1,"Dış-iskelet tamam, iç dekora geçiliyor"
120,4,0,"Dış-iskelet tamam, iç dekora geçiliyor"
120,4,2,"Dış-iskelet tamam, iç dekora geçiliyor"
120,5,0,Vinçte taşıyıcı iskelet
122,4,3,Sıva
122,4,1,Elektrik-su hattı döşeme
123,5,1,Vinçte taşıyıcı iskelet
123,4,3,Boya
124,4,1,Sıva
124,4,0,Elektrik-su hattı döşeme
125,4,1,Boya
126,5,2,Vinçte taşıyıcı iskelet
126,4,3,Asansörde Fayans ve parkeler döşeme
126,4,0,Sıva
126,4,2,Elektrik-su hattı döşeme
127,4,1,Asansörde Fayans ve parkeler döşeme
128,4,3,Asansörde Mobilya taşıma
128,4,2,Sıva
129,5,3,Vinçte taşıyıcı iskelet
129,4,3,Final kontrol
129,4,0,Boya
129,4,1,Asansörde Mobilya taşıma
130,4,1,Final kontrol
131,4,2,Boya
131,4,0,Asansörde Fayans ve parkeler döşeme
132,5,0,Vinçte dış duvar
133,4,0,Asansörde Mobilya taşıma
134,4,2,Asansörde Fayans ve parkeler döşeme
134,4,0,Final kontrol
135,5,1,Vinçte dış duvar
136,4,2,Asansörde Mobilya taşıma
137,4,2,Final kontrol
138,5,2,Vinçte dış duvar
141,5,3,Vinçte dış duvar
144,5,3,"Dış-iskelet tamam, iç dekora geçiliyor"
144,5,3,Elektrik-su hattı döşeme
144,5,1,"Dış-iskelet tamam, iç dekora geçiliyor"
144,5,0,"Dış-iskelet tamam, iç dekora geçiliyor"
144,5,2,"Dış-iskelet tamam, iç dekora geçiliyor"
144,6,0,Vinçte taşıyıcı iskelet
146,5,3,Sıva
146,5,1,Elektrik-su hattı döşeme
147,6,1,Vinçte taşıyıcı iskelet
148,5,3,Boya
148,5,1,Sıva
148,5,0,Elektrik-su hattı döşeme
150,6,2,Vinçte taşıyıcı iskelet
150,5,3,Asansörde Fayans ve parkeler döşeme
150,5,1,Boya
150,5,0,Sıva
150,5,2,Elektrik-su hattı döşeme
151,5,1,Asansörde Fayans ve parkeler döşeme
152,5,3,Asansörde Mobilya taşıma
152,5,2,Sıva
153,5,0,Boya
153,6,3,Vinçte taşıyıcı iskelet
153,5,1,Asansörde Mobilya taşıma
153,5,3,Final kontrol
154,5,0,Asansörde Fayans ve parkeler döşeme
154,5,2,Boya
154,5,1,Final kontrol
156,6,0,Vinçte dış duvar
156,5,0,Asansörde Mobilya taşıma
156,5,2,Asansörde Fayans ve parkeler döşeme
157,5,0,Final kontrol
158,5,2,Asansörde Mobilya taşıma
159,6,1,Vinçte dış duvar
159,5,2,Final kontrol
162,6,2,Vinçte dış duvar
165,6,3,Vinçte dış duvar
168,6,1,"Dış-iskelet tamam, iç dekora geçiliyor"
168,6,1,Elektrik-su hattı döşeme
168,6,0,"Dış-iskelet tamam, iç dekora geçiliyor"
168,6,3,"Dış-iskelet tamam, iç dekora geçiliyor"
168,6,2,"Dış-iskelet tamam, iç dekora geçiliyor"
168,7,0,Vinçte taşıyıcı iskelet
170,6,1,Sıva
170,6,0,Elektrik-su hattı döşeme
171,7,1,Vinçte taşıyıcı iskelet
172,6,0,Sıva
172,6,3,Elektrik-su hattı döşeme
173,6,1,Boya
173,6,0,Boya
174,7,2,Vinçte taşıyıcı iskelet
174,6,3,Sıva
174,6,1,Asansörde Fayans ve parkeler döşeme
174,6,2,Elektrik-su hattı döşeme
176,6,1,Asansörde Mobilya taşıma
176,6,2,Sıva
176,6,0,Asansörde Fayans ve parkeler döşeme
177,6,3,Boya
177,7,3,Vinçte taşıyıcı iskelet
177,6,1,Final kontrol
177,6,2,Boya
178,6,0,Asansörde Mobilya taşıma
178,6,2,Asansörde Fayans ve parkeler döşeme
179,6,0,Final kontrol
180,6,3,Asansörde Fayans ve parkeler döşeme
180,7,0,Vinçte dış duvar
180,6,2,Asansörde Mobilya taşıma
181,6,2,Final kontrol
182,6,3,Asansörde Mobilya taşıma
183,7,1,Vinçte dış duvar
183,6,3,Final kontrol
186,7,2,Vinçte dış duvar
189,7,3,Vinçte dış duvar
192,7,3,"Dış-iskelet tamam, iç dekora geçiliyor"
192,7,3,Elektrik-su hattı döşeme
192,7,0,"Dış-iskelet tamam, iç dekora geçiliyor"
192,7,1,"Dış-iskelet tamam, iç dekora geçiliyor"
192,7,2,"Dış-iskelet tamam, iç dekora geçiliyor"
192,8,0,Vinçte taşıyıcı iskelet
194,7,3,Sıva
194,7,0,Elektrik-su hattı döşeme
195,8,1,Vinçte taşıyıcı iskelet
196,7,3,Boya
196,7,1,Elektrik-su hattı döşeme
196,7,0,Sıva
198,7,3,Asansörde Fayans ve parkeler döşeme
198,7,1,Sıva
198,7,0,Boya
198,7,2,Elektrik-su hattı döşeme
198,8,2,Vinçte taşıyıcı iskelet
200,7,1,Boya
200,7,2,Sıva
200,7,0,Asansörde Fayans ve parkeler döşeme
200,7,3,Asansörde Mobilya taşıma
201,8,3,Vinçte taşıyıcı iskelet
201,7,3,Final kontrol
202,7,0,Asansörde Mobilya taşıma
203,7,2,Boya
203,7,1,Asansörde Fayans ve parkeler döşeme
203,7,0,Final kontrol
204,8,0,Vinçte dış duvar
205,7,1,Asansörde Mobilya taşıma
206,7,2,Asansörde Fayans ve parkeler döşeme
206,7,1,Final kontrol
207,8,1,Vinçte dış duvar
208,7,2,Asansörde Mobilya taşıma
209,7,2,Final kontrol
210,8,2,Vinçte dış duvar
213,8,3,Vinçte dış duvar
216,8,3,"Dış-iskelet tamam, iç dekora geçiliyor"
216,8,3,Elektrik-su hattı döşeme
216,8,0,"Dış-iskelet tamam, iç dekora geçiliyor"
216,8,1,"Dış-iskelet tamam, iç dekora geçiliyor"
216,8,2,"Dış-iskelet tamam, iç dekora geçiliyor"
216,9,0,Vinçte taşıyıcı iskelet
218,8,3,Sıva
218,8,0,Elektrik-su hattı döşeme
219,9,1,Vinçte taşıyıcı iskelet
220,8,0,Sıva
220,8,1,Elektrik-su hattı döşeme
221,8,3,Boya
221,8,0,Boya
222,9,2,Vinçte taşıyıcı iskelet
222,8,1,Sıva
222,8,0,Asansörde Fayans ve parkeler döşeme
222,8,2,Elektrik-su hattı döşeme
224,8,3,Asansörde Fayans ve parkeler döşeme
224,8,2,Sıva
224,8,0,Asansörde Mobilya taşıma
225,9,3,Vinçte taşıyıcı iskelet
225,8,1,Boya
225,8,0,Final kontrol
